table,start,stop,time,value,Ofen,field,measurement
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:29:57Z,9938.591,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:29:58Z,14531.346,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:14Z,14438.029,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:20Z,14495.648,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:21Z,820.354,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:22Z,14417.91,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:24Z,14492.35,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:58Z,14396.159,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:30:59Z,14288.578,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:00Z,813.608,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:02Z,9511.179,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:04Z,817.326,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:14Z,14275.02,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:17Z,14449.268,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:23Z,14192.908,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:25Z,13366.699,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:26Z,14196.643,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:27Z,815.223,Gifas_WBH,Scheinleistung,Energiedaten_WBH
